# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 100K of event 'cycles:P'
# Event count (approx.): 46847319178
#
# Overhead  Command        Shared Object           Symbol                                      
# ........  .............  ......................  ............................................
#
     0.00%  my_executable  [kernel.vmlinux]        [k] _raw_spin_trylock
     0.00%  my_executable  libm.so.6               [.] 0x000000000007329b
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073b58
     0.00%  my_executable  libm.so.6               [.] 0x000000000007334d
     0.00%  my_executable  libopen-pal.so.80.0.2   [.] opal_asprintf
     0.00%  my_executable  libm.so.6               [.] 0x00000000000733b3
     0.00%  my_executable  [kernel.vmlinux]        [k] __alloc_skb
     0.00%  my_executable  libc.so.6               [.] 0x000000000005cf59
     0.00%  my_executable  libm.so.6               [.] 0x00000000000733aa
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073262
     0.00%  my_executable  [kernel.vmlinux]        [k] blkcg_maybe_throttle_current
     0.00%  my_executable  libc.so.6               [.] strchrnul@plt
     0.00%  my_executable  [kernel.vmlinux]        [k] mas_update_gap.part.0
     0.00%  my_executable  [kernel.vmlinux]        [k] switch_fpu_return
     0.00%  my_executable  [kernel.vmlinux]        [k] __slab_free
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073d95
     0.00%  my_executable  ld-linux-x86-64.so.2    [.] _dl_signal_error
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073602
     0.00%  my_executable  [kernel.vmlinux]        [k] __lookup_mnt
     0.00%  my_executable  libc.so.6               [.] 0x0000000000097d34
     0.00%  my_executable  [kernel.vmlinux]        [k] file_tty_write.isra.0
     0.00%  my_executable  [kernel.vmlinux]        [k] raise_softirq
     0.00%  my_executable  [kernel.vmlinux]        [k] tlb_finish_mmu
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073153
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073d7a
     0.00%  my_executable  libopen-pal.so.80.0.2   [.] mca_smsc_cma_get_user_ns_id
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073be4
     0.00%  my_executable  ld-linux-x86-64.so.2    [.] 0x0000000000010eec
     0.00%  my_executable  libm.so.6               [.] 0x000000000007332d
     0.00%  my_executable  [kernel.vmlinux]        [k] futex_wait
