# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 22K of event 'cycles:P'
# Event count (approx.): 14907655679
#
# Overhead  Command        Shared Object           Symbol                                                                                     
# ........  .............  ......................  ...........................................................................................
#
     0.00%  my_executable  libc.so.6               [.] 0x000000000015965b
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073fad
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073be4
     0.00%  my_executable  libmpi.so.40.40.2       [.] ompi_coll_tuned_alltoallv_intra_check_forced_init
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073d7e
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073d9c
     0.00%  my_executable  ld-linux-x86-64.so.2    [.] 0x00000000000249e4
     0.00%  my_executable  [unknown]               [k] 0xffffffffc00a1667
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073f70
     0.00%  my_executable  libucs.so.0.0.0         [.] 0x000000000007f53a
     0.00%  my_executable  libm.so.6               [.] 0x000000000007313d
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073c19
     0.00%  my_executable  libgomp.so.1.0.0        [.] gomp_thread_start
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073c66
     0.00%  my_executable  libm.so.6               [.] 0x00000000000732b1
     0.00%  my_executable  libm.so.6               [.] 0x00000000000732c8
     0.00%  my_executable  libm.so.6               [.] 0x000000000007331a
     0.00%  my_executable  [kernel.vmlinux]        [k] uncharge_folio
     0.00%  my_executable  [kernel.vmlinux]        [k] __page_cache_release
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073d54
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073f97
     0.00%  my_executable  libm.so.6               [.] 0x00000000000735a8
     0.00%  my_executable  [kernel.vmlinux]        [k] hook_file_open
     0.00%  my_executable  [kernel.vmlinux]        [k] kmem_cache_free
     0.00%  my_executable  [kernel.vmlinux]        [k] lockref_get_not_dead
     0.00%  my_executable  [kernel.vmlinux]        [k] do_filp_open
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073f74
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073c76
     0.00%  my_executable  ld-linux-x86-64.so.2    [.] 0x000000000000a42c
     0.00%  my_executable  ld-linux-x86-64.so.2    [.] 0x000000000000a40b
     0.00%  my_executable  ld-linux-x86-64.so.2    [.] 0x0000000000010754
     0.00%  my_executable  [kernel.vmlinux]        [k] cpu_util
     0.00%  my_executable  ld-linux-x86-64.so.2    [.] 0x00000000000146b8
     0.00%  my_executable  [kernel.vmlinux]        [k] ksys_mmap_pgoff
     0.00%  my_executable  ld-linux-x86-64.so.2    [.] 0x00000000000097df
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073d86
     0.00%  my_executable  [kernel.vmlinux]        [k] native_flush_tlb_local
     0.00%  my_executable  ld-linux-x86-64.so.2    [.] 0x0000000000010f13
     0.00%  my_executable  [kernel.vmlinux]        [k] sync_regs
     0.00%  my_executable  libopen-pal.so.80.0.2   [.] 0x000000000002b5b0
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073c90
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073482
     0.00%  my_executable  libpciaccess.so.0.11.1  [.] 0x00000000000028f3
     0.00%  my_executable  libhwloc.so.15.7.0      [.] hwloc_pci_find_by_busid
     0.00%  my_executable  libpciaccess.so.0.11.1  [.] 0x00000000000028e8
     0.00%  my_executable  libpciaccess.so.0.11.1  [.] 0x000000000000290b
     0.00%  my_executable  libc.so.6               [.] 0x000000000009a058
     0.00%  my_executable  libc.so.6               [.] 0x000000000009943c
     0.00%  my_executable  libucs.so.0.0.0         [.] ucs_string_buffer_cleanup
     0.00%  my_executable  libudev.so.1.7.8        [.] 0x0000000000014d0f
     0.00%  my_executable  libm.so.6               [.] 0x00000000000731d1
     0.00%  my_executable  [kernel.vmlinux]        [k] __bpf_tramp_enter
     0.00%  my_executable  libudev.so.1.7.8        [.] 0x00000000000243f5
     0.00%  my_executable  libc.so.6               [.] 0x000000000005f700
     0.00%  my_executable  libudev.so.1.7.8        [.] 0x0000000000024920
     0.00%  my_executable  libc.so.6               [.] 0x000000000005dc35
     0.00%  my_executable  libc.so.6               [.] 0x0000000000159fdd
     0.00%  my_executable  libc.so.6               [.] 0x00000000000992f7
     0.00%  my_executable  libm.so.6               [.] 0x000000000007327c
     0.00%  my_executable  [kernel.vmlinux]        [k] pgtable_trans_huge_deposit
     0.00%  my_executable  libc.so.6               [.] 0x0000000000087819
     0.00%  my_executable  [kernel.vmlinux]        [k] syscall_exit_to_user_mode
     0.00%  my_executable  [kernel.vmlinux]        [k] dput
     0.00%  my_executable  [kernel.vmlinux]        [k] percpu_counter_add_batch
     0.00%  my_executable  [kernel.vmlinux]        [k] syscall_exit_to_user_mode_prepare
     0.00%  my_executable  [kernel.vmlinux]        [k] _raw_spin_lock_irq
     0.00%  my_executable  [kernel.vmlinux]        [k] __x64_sys_futex
     0.00%  my_executable  [kernel.vmlinux]        [k] strnlen
     0.00%  my_executable  libc.so.6               [.] 0x0000000000099404
     0.00%  my_executable  [kernel.vmlinux]        [k] security_file_open
     0.00%  my_executable  [kernel.vmlinux]        [k] perf_event__header_size
     0.00%  my_executable  [kernel.vmlinux]        [k] __memcg_slab_free_hook
     0.00%  my_executable  [kernel.vmlinux]        [k] find_idlest_group
     0.00%  my_executable  [kernel.vmlinux]        [k] mas_alloc_nodes
     0.00%  my_executable  [kernel.vmlinux]        [k] kmalloc_node_trace
     0.00%  my_executable  [kernel.vmlinux]        [k] x86_reserve_hardware
     0.00%  my_executable  [kernel.vmlinux]        [k] x86_pmu_event_init
     0.00%  my_executable  [kernel.vmlinux]        [k] do_dentry_open
     0.00%  my_executable  [kernel.vmlinux]        [k] __alloc_pages
     0.00%  my_executable  [kernel.vmlinux]        [k] hrtimer_active
     0.00%  my_executable  [kernel.vmlinux]        [k] cpufreq_stats_record_transition
     0.00%  my_executable  [kernel.vmlinux]        [k] inherit_event.isra.0
     0.00%  my_executable  ld-linux-x86-64.so.2    [.] 0x00000000000235da
     0.00%  my_executable  [kernel.vmlinux]        [k] __check_object_size
     0.00%  my_executable  libpmix.so.2.9.5        [.] PMIx_Init
     0.00%  my_executable  [kernel.vmlinux]        [k] freezer_fork
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073a91
     0.00%  my_executable  [kernel.vmlinux]        [k] do_syscall_64
     0.00%  my_executable  [kernel.vmlinux]        [k] psi_group_change
     0.00%  my_executable  libm.so.6               [.] 0x00000000000732f1
     0.00%  my_executable  libc.so.6               [.] 0x000000000004d0d6
     0.00%  my_executable  [kernel.vmlinux]        [k] copy_thread
     0.00%  my_executable  [kernel.vmlinux]        [k] filemap_read
     0.00%  my_executable  [kernel.vmlinux]        [k] native_apic_msr_eoi
     0.00%  my_executable  [kernel.vmlinux]        [k] kmem_cache_alloc_node
     0.00%  my_executable  libpciaccess.so.0.11.1  [.] 0x00000000000027e0
     0.00%  my_executable  libc.so.6               [.] 0x00000000000551ca
     0.00%  my_executable  libpciaccess.so.0.11.1  [.] 0x00000000000025c8
     0.00%  my_executable  [kernel.vmlinux]        [k] update_curr
     0.00%  my_executable  [kernel.vmlinux]        [k] intel_pmu_hw_config.part.0
     0.00%  my_executable  libc.so.6               [.] 0x00000000001569c7
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073c3d
     0.00%  my_executable  [kernel.vmlinux]        [k] idle_cpu
     0.00%  my_executable  [kernel.vmlinux]        [k] __count_memcg_events
     0.00%  my_executable  libpciaccess.so.0.11.1  [.] 0x00000000000025a3
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073327
     0.00%  my_executable  libm.so.6               [.] 0x00000000000739d8
     0.00%  my_executable  libgomp.so.1.0.0        [.] gomp_barrier_wait
     0.00%  my_executable  [kernel.vmlinux]        [k] dequeue_entity
     0.00%  my_executable  libpciaccess.so.0.11.1  [.] 0x0000000000002746
     0.00%  my_executable  libc.so.6               [.] 0x000000000009a988
     0.00%  my_executable  libc.so.6               [.] 0x00000000001572e6
     0.00%  my_executable  [kernel.vmlinux]        [k] blk_cgroup_congested
     0.00%  my_executable  libpciaccess.so.0.11.1  [.] 0x000000000000264c
     0.00%  my_executable  libm.so.6               [.] 0x000000000007359a
     0.00%  my_executable  libc.so.6               [.] _IO_default_uflow
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073cba
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073987
     0.00%  my_executable  [kernel.vmlinux]        [k] _find_next_bit
     0.00%  my_executable  libopen-pal.so.80.0.2   [.] 0x000000000003c8be
     0.00%  my_executable  [kernel.vmlinux]        [k] seq_read_iter
     0.00%  my_executable  libm.so.6               [.] 0x00000000000730cb
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073955
