# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 81K of event 'cycles:P'
# Event count (approx.): 38855423868
#
# Overhead  Command        Shared Object           Symbol                                  
# ........  .............  ......................  ........................................
#
     0.00%  my_executable  [kernel.vmlinux]        [k] irqtime_account_process_tick
     0.00%  my_executable  [kernel.vmlinux]        [k] userfaultfd_remove
     0.00%  my_executable  libm.so.6               [.] 0x00000000000733c0
     0.00%  my_executable  [kernel.vmlinux]        [k] update_rt_rq_load_avg
     0.00%  my_executable  [kernel.vmlinux]        [k] __sysvec_apic_timer_interrupt
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073c72
     0.00%  my_executable  [kernel.vmlinux]        [k] ip_rcv_finish_core.isra.0
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073433
     0.00%  my_executable  libstencil.so           [.] comm_handler_ghost_exchange
     0.00%  my_executable  libm.so.6               [.] 0x000000000007333c
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073153
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073d92
     0.00%  my_executable  [kernel.vmlinux]        [k] record_times
     0.00%  my_executable  libm.so.6               [.] 0x00000000000738f4
     0.00%  my_executable  [kernel.vmlinux]        [k] filemap_get_entry
     0.00%  my_executable  ld-linux-x86-64.so.2    [.] 0x0000000000009a70
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073334
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073205
     0.00%  my_executable  [kernel.vmlinux]        [k] mas_mab_cp
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073394
     0.00%  my_executable  libm.so.6               [.] 0x00000000000738fa
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073c6a
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073c58
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073d8f
     0.00%  my_executable  [kernel.vmlinux]        [k] fput
     0.00%  my_executable  libopen-pal.so.80.0.2   [.] opal_free_list_grow_st
     0.00%  my_executable  libc.so.6               [.] 0x000000000009a753
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073404
     0.00%  my_executable  libc.so.6               [.] 0x000000000015adc4
     0.00%  my_executable  [kernel.vmlinux]        [k] __x64_sys_write
     0.00%  my_executable  [kernel.vmlinux]        [k] strncpy_from_user
     0.00%  my_executable  [kernel.vmlinux]        [k] rtnetlink_rcv_msg
     0.00%  my_executable  libc.so.6               [.] 0x0000000000099427
     0.00%  my_executable  libc.so.6               [.] 0x000000000009a850
     0.00%  my_executable  libm.so.6               [.] 0x00000000000731f2
     0.00%  my_executable  [kernel.vmlinux]        [k] __sys_recvmsg
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073d9c
     0.00%  my_executable  libc.so.6               [.] 0x000000000009a678
     0.00%  my_executable  libc.so.6               [.] __sprintf_chk
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073495
     0.00%  my_executable  libc.so.6               [.] 0x000000000009a05d
     0.00%  my_executable  libm.so.6               [.] 0x000000000007399d
     0.00%  my_executable  libgomp.so.1.0.0        [.] gomp_init_task
     0.00%  my_executable  [kernel.vmlinux]        [k] mm_update_next_owner
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073d50
     0.00%  my_executable  [kernel.vmlinux]        [k] free_unref_page
     0.00%  my_executable  libucs.so.0.0.0         [.] 0x00000000000500f7
     0.00%  my_executable  libfabric.so.1.24.0     [.] 0x00000000000167b7
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073d7e
     0.00%  my_executable  [kernel.vmlinux]        [k] lru_gen_del_folio
     0.00%  my_executable  [kernel.vmlinux]        [k] vm_normal_folio
     0.00%  my_executable  libm.so.6               [.] 0x00000000000730a5
     0.00%  my_executable  [kernel.vmlinux]        [k] unmap_page_range
     0.00%  my_executable  [kernel.vmlinux]        [k] filemap_fault
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073c35
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073482
     0.00%  my_executable  [kernel.vmlinux]        [k] __snmp6_fill_stats64.constprop.0
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073be8
     0.00%  my_executable  [kernel.vmlinux]        [k] rcu_start_this_gp
     0.00%  my_executable  libm.so.6               [.] 0x00000000000732b1
     0.00%  my_executable  libm.so.6               [.] 0x00000000000733a2
     0.00%  my_executable  [kernel.vmlinux]        [k] inet6_fill_ifla6_attrs
     0.00%  my_executable  libc.so.6               [.] 0x0000000000099538
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073190
     0.00%  my_executable  libm.so.6               [.] 0x000000000007359a
     0.00%  my_executable  libc.so.6               [.] 0x00000000001794eb
     0.00%  my_executable  ld-linux-x86-64.so.2    [.] 0x000000000000c10c
     0.00%  my_executable  libc.so.6               [.] 0x000000000015692b
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073d9f
     0.00%  my_executable  [kernel.vmlinux]        [k] kernfs_seq_stop
     0.00%  my_executable  libopen-pal.so.80.0.2   [.] opal_hash_table_remove_all
     0.00%  my_executable  libc.so.6               [.] 0x000000000009a7b4
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073fad
     0.00%  my_executable  libc.so.6               [.] 0x00000000000851b8
     0.00%  my_executable  [kernel.vmlinux]        [k] bitmap_string.isra.0
     0.00%  my_executable  [kernel.vmlinux]        [k] __irq_exit_rcu
     0.00%  my_executable  [kernel.vmlinux]        [k] fd_install
     0.00%  my_executable  [kernel.vmlinux]        [k] user_path_at_empty
     0.00%  my_executable  [kernel.vmlinux]        [k] mas_walk
     0.00%  my_executable  [kernel.vmlinux]        [k] kernfs_put_active
     0.00%  my_executable  [kernel.vmlinux]        [k] sysfs_kf_seq_show
     0.00%  my_executable  libm.so.6               [.] 0x000000000007342f
     0.00%  my_executable  [kernel.vmlinux]        [k] set_root
     0.00%  my_executable  [kernel.vmlinux]        [k] make_vfsuid
     0.00%  my_executable  ld-linux-x86-64.so.2    [.] 0x0000000000001865
     0.00%  my_executable  ld-linux-x86-64.so.2    [.] 0x0000000000009d40
     0.00%  my_executable  libm.so.6               [.] 0x00000000000732fd
     0.00%  my_executable  [kernel.vmlinux]        [k] can_change_pte_writable
     0.00%  my_executable  [kernel.vmlinux]        [k] rebalance_domains
     0.00%  my_executable  ld-linux-x86-64.so.2    [.] 0x0000000000024c01
     0.00%  my_executable  ld-linux-x86-64.so.2    [.] 0x0000000000013ee8
     0.00%  my_executable  [kernel.vmlinux]        [k] futex_q_lock
     0.00%  my_executable  [kernel.vmlinux]        [k] lru_gen_del_folio.constprop.0
     0.00%  my_executable  [kernel.vmlinux]        [k] __srcu_read_lock
