# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 13K of event 'cycles:P'
# Event count (approx.): 6809543337
#
# Overhead  Command        Shared Object           Symbol                                      
# ........  .............  ......................  ............................................
#
     0.02%  my_executable  [kernel.vmlinux]        [k] set_ptes.isra.0
     0.02%  my_executable  [kernel.vmlinux]        [k] do_dentry_open
     0.02%  my_executable  libgomp.so.1.0.0        [.] gomp_team_start
     0.02%  my_executable  [kernel.vmlinux]        [k] blk_cgroup_congested
     0.02%  my_executable  [kernel.vmlinux]        [k] enqueue_entity
     0.01%  my_executable  [kernel.vmlinux]        [k] _raw_spin_unlock_irqrestore
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073c83
     0.01%  my_executable  [kernel.vmlinux]        [k] kvfree_call_rcu
     0.01%  my_executable  libpciaccess.so.0.11.1  [.] 0x000000000000290b
     0.01%  my_executable  [kernel.vmlinux]        [k] _raw_spin_lock_irq
     0.01%  my_executable  [kernel.vmlinux]        [k] switch_fpu_return
     0.01%  my_executable  libucs.so.0.0.0         [.] 0x00000000000df870
     0.01%  my_executable  libc.so.6               [.] 0x0000000000159fe1
     0.01%  my_executable  [kernel.vmlinux]        [k] __slab_free
     0.01%  my_executable  [kernel.vmlinux]        [k] strlen
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073d92
     0.01%  my_executable  [kernel.vmlinux]        [k] __perf_event_task_sched_out
     0.01%  my_executable  [nfs]                   [k] 0x0000000000005b92
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073bff
     0.01%  my_executable  libpciaccess.so.0.11.1  [.] 0x0000000000002652
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073337
     0.01%  my_executable  [kernel.vmlinux]        [k] __memcg_slab_free_hook
     0.01%  my_executable  libc.so.6               [.] 0x000000000004d19b
     0.01%  my_executable  [kernel.vmlinux]        [k] kmalloc_trace
     0.01%  my_executable  [kernel.vmlinux]        [k] vfs_read
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073757
     0.01%  my_executable  [kernel.vmlinux]        [k] task_tick_fair
     0.01%  my_executable  [kernel.vmlinux]        [k] locks_remove_posix
     0.01%  my_executable  libc.so.6               [.] cfree
     0.01%  my_executable  libc.so.6               [.] 0x000000000009a093
     0.01%  my_executable  libucs.so.0.0.0         [.] 0x00000000000df5df
     0.01%  my_executable  libpciaccess.so.0.11.1  [.] 0x000000000000261a
     0.01%  my_executable  [kernel.vmlinux]        [k] kernfs_refresh_inode
     0.01%  my_executable  [kernel.vmlinux]        [k] __lruvec_stat_mod_folio
     0.01%  my_executable  [kernel.vmlinux]        [k] idle_cpu
     0.01%  my_executable  libudev.so.1.7.8        [.] 0x00000000000159fe
     0.01%  my_executable  [kernel.vmlinux]        [k] irqentry_exit_to_user_mode
     0.01%  my_executable  libc.so.6               [.] 0x0000000000159fc4
     0.01%  my_executable  [kernel.vmlinux]        [k] atime_needs_update
     0.01%  my_executable  libucs.so.0.0.0         [.] bfd_check_format_matches
     0.01%  my_executable  [kernel.vmlinux]        [k] __perf_event_task_sched_in
     0.01%  my_executable  libc.so.6               [.] 0x0000000000159fed
     0.01%  my_executable  [kernel.vmlinux]        [k] irqtime_account_irq
     0.01%  my_executable  [kernel.vmlinux]        [k] lru_gen_del_folio.constprop.0
     0.01%  my_executable  [kernel.vmlinux]        [k] do_mprotect_pkey
     0.01%  my_executable  libucs.so.0.0.0         [.] 0x00000000000df59f
     0.01%  my_executable  libucs.so.0.0.0         [.] 0x00000000000e3049
     0.01%  my_executable  libucs.so.0.0.0         [.] 0x00000000000e2932
     0.01%  my_executable  libucs.so.0.0.0         [.] 0x00000000000df5ad
     0.01%  my_executable  libucs.so.0.0.0         [.] 0x00000000000e33c8
     0.01%  my_executable  libucs.so.0.0.0         [.] 0x00000000000df746
     0.01%  my_executable  [kernel.vmlinux]        [k] folio_batch_move_lru
     0.01%  my_executable  libucs.so.0.0.0         [.] 0x00000000000860aa
     0.01%  my_executable  [kernel.vmlinux]        [k] update_rq_clock
     0.01%  my_executable  libucs.so.0.0.0         [.] 0x00000000000df5cd
     0.01%  my_executable  [kernel.vmlinux]        [k] ___slab_alloc
     0.01%  my_executable  libucs.so.0.0.0         [.] 0x00000000000df62f
     0.01%  my_executable  libc.so.6               [.] 0x0000000000159643
     0.01%  my_executable  [kernel.vmlinux]        [k] lockref_put_return
     0.01%  my_executable  [kernel.vmlinux]        [k] rwsem_mark_wake
     0.01%  my_executable  libucs.so.0.0.0         [.] 0x00000000000dd68f
     0.01%  my_executable  libc.so.6               [.] 0x000000000005eb04
     0.01%  my_executable  libc.so.6               [.] 0x000000000009a04f
     0.01%  my_executable  libucs.so.0.0.0         [.] 0x00000000000e2275
     0.01%  my_executable  [kernel.vmlinux]        [k] __legitimize_mnt
     0.01%  my_executable  [kernel.vmlinux]        [k] percpu_counter_add_batch
     0.01%  my_executable  libc.so.6               [.] 0x0000000000159e1d
     0.01%  my_executable  libc.so.6               [.] 0x0000000000159fdd
     0.01%  my_executable  libucs.so.0.0.0         [.] 0x00000000000e313c
     0.01%  my_executable  libc.so.6               [.] 0x00000000000551c5
     0.01%  my_executable  [kernel.vmlinux]        [k] number
     0.01%  my_executable  [kernel.vmlinux]        [k] check_stack_object
     0.01%  my_executable  libpmix.so.2.9.5        [.] pmix_hash_table_get_value_ptr
     0.01%  my_executable  libucs.so.0.0.0         [.] 0x00000000000e29cc
     0.01%  my_executable  [kernel.vmlinux]        [k] seq_printf
     0.01%  my_executable  ld-linux-x86-64.so.2    [.] 0x0000000000009a7e
     0.01%  my_executable  libucs.so.0.0.0         [.] _bfd_elf_get_special_section
     0.01%  my_executable  libucs.so.0.0.0         [.] 0x00000000000df5e6
     0.01%  my_executable  [kernel.vmlinux]        [k] __get_user_8
     0.01%  my_executable  libucs.so.0.0.0         [.] 0x00000000000df5bc
     0.01%  my_executable  libucs.so.0.0.0         [.] 0x00000000000dffc2
     0.01%  my_executable  ld-linux-x86-64.so.2    [.] 0x000000000000982d
     0.01%  my_executable  [kernel.vmlinux]        [k] native_read_msr
     0.01%  my_executable  [kernel.vmlinux]        [k] down_read
     0.01%  my_executable  [kernel.vmlinux]        [k] security_inode_permission
     0.01%  my_executable  libucs.so.0.0.0         [.] 0x00000000000df9b9
     0.01%  my_executable  libc.so.6               [.] 0x00000000001572e2
     0.01%  my_executable  [kernel.vmlinux]        [k] mas_next_slot
     0.01%  my_executable  [kernel.vmlinux]        [k] do_filp_open
     0.01%  my_executable  [kernel.vmlinux]        [k] _copy_to_iter
     0.01%  my_executable  [kernel.vmlinux]        [k] _raw_spin_unlock
     0.01%  my_executable  [kernel.vmlinux]        [k] native_set_pte
     0.01%  my_executable  [kernel.vmlinux]        [k] alloc_fd
     0.01%  my_executable  [kernel.vmlinux]        [k] ttwu_queue_wakelist
     0.01%  my_executable  libucs.so.0.0.0         [.] _bfd_elf_swap_versym_in
     0.01%  my_executable  [kernel.vmlinux]        [k] terminate_walk
     0.01%  my_executable  libucs.so.0.0.0         [.] bfd_bread
     0.01%  my_executable  libucs.so.0.0.0         [.] 0x000000000012de75
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073bc6
     0.01%  my_executable  [kernel.vmlinux]        [k] memcg_account_kmem
     0.01%  my_executable  [kernel.vmlinux]        [k] do_coredump
     0.01%  my_executable  [kernel.vmlinux]        [k] p4d_offset
     0.01%  my_executable  [kernel.vmlinux]        [k] __mutex_lock_slowpath
     0.01%  my_executable  [kernel.vmlinux]        [k] file_update_time
     0.01%  my_executable  [kernel.vmlinux]        [k] kill_fasync
