# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 24K of event 'cycles:P'
# Event count (approx.): 14749627215
#
# Overhead  Command        Shared Object           Symbol                                     
# ........  .............  ......................  ...........................................
#
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073afb
     0.00%  my_executable  [kernel.vmlinux]        [k] unmap_region
     0.00%  my_executable  [kernel.vmlinux]        [k] set_nlink
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073f85
     0.00%  my_executable  libm.so.6               [.] 0x00000000000732f1
     0.00%  my_executable  [kernel.vmlinux]        [k] cgroup_rstat_updated
     0.00%  my_executable  libm.so.6               [.] 0x00000000000733d7
     0.00%  my_executable  [kernel.vmlinux]        [k] inet_dump_ifaddr
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073730
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073c76
     0.00%  my_executable  libfabric.so.1.24.0     [.] 0x0000000000022196
     0.00%  my_executable  libopen-pal.so.80.0.2   [.] opal_arch_checkmask
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073584
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073463
     0.00%  my_executable  libopen-pal.so.80.0.2   [.] mca_base_var_group_get_internal
     0.00%  my_executable  libc.so.6               [.] 0x0000000000055159
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073c0d
     0.00%  my_executable  [kernel.vmlinux]        [k] __bpf_tramp_enter
     0.00%  my_executable  libc.so.6               [.] 0x0000000000055127
     0.00%  my_executable  [kernel.vmlinux]        [k] irqentry_enter
     0.00%  my_executable  [kernel.vmlinux]        [k] free_unref_page
     0.00%  my_executable  [kernel.vmlinux]        [k] __vm_enough_memory
     0.00%  my_executable  [kernel.vmlinux]        [k] mctp_dev_put
     0.00%  my_executable  [kernel.vmlinux]        [k] nla_reserve
     0.00%  my_executable  [kernel.vmlinux]        [k] xas_descend
     0.00%  my_executable  libgomp.so.1.0.0        [.] gomp_iter_ull_dynamic_next
     0.00%  my_executable  [kernel.vmlinux]        [k] do_huge_pmd_anonymous_page
     0.00%  my_executable  [kernel.vmlinux]        [k] mas_empty_area_rev
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073b2b
     0.00%  my_executable  libc.so.6               [.] pthread_detach
     0.00%  my_executable  libfabric.so.1.24.0     [.] 0x00000000000073c7
     0.00%  my_executable  libopen-pal.so.80.0.2   [.] opal_info_get
