# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 60K of event 'cycles:P'
# Event count (approx.): 27923495162
#
# Overhead  Command        Shared Object           Symbol                                 
# ........  .............  ......................  .......................................
#
     0.00%  my_executable  ld-linux-x86-64.so.2    [.] 0x0000000000022c2a
     0.00%  my_executable  libpciaccess.so.0.11.1  [.] 0x000000000000290b
     0.00%  my_executable  libc.so.6               [.] 0x00000000000993fb
     0.00%  my_executable  [kernel.vmlinux]        [k] perf_event_alloc
     0.00%  my_executable  [kernel.vmlinux]        [k] node_is_toptier
     0.00%  my_executable  libpmix.so.2.9.5        [.] 0x0000000000144620
     0.00%  my_executable  libm.so.6               [.] 0x00000000000735e7
     0.00%  my_executable  ld-linux-x86-64.so.2    [.] 0x000000000000a3f7
     0.00%  my_executable  libc.so.6               [.] 0x000000000009af1b
     0.00%  my_executable  libc.so.6               [.] __libc_calloc
     0.00%  my_executable  libpmix.so.2.9.5        [.] pmix_mca_base_components_close
     0.00%  my_executable  [kernel.vmlinux]        [k] filemap_get_entry
     0.00%  my_executable  [kernel.vmlinux]        [k] vm_area_alloc
     0.00%  my_executable  libc.so.6               [.] 0x000000000005d392
     0.00%  my_executable  ld-linux-x86-64.so.2    [.] 0x0000000000009d48
     0.00%  my_executable  [kernel.vmlinux]        [k] mmap_region
     0.00%  my_executable  [kernel.vmlinux]        [k] kernfs_fop_release
     0.00%  my_executable  ld-linux-x86-64.so.2    [.] 0x0000000000004ce0
     0.00%  my_executable  ld-linux-x86-64.so.2    [.] 0x000000000000e751
     0.00%  my_executable  ld-linux-x86-64.so.2    [.] 0x00000000000097ce
     0.00%  my_executable  ld-linux-x86-64.so.2    [.] 0x00000000000249ec
     0.00%  my_executable  libc.so.6               [.] 0x0000000000159643
     0.00%  my_executable  libm.so.6               [.] 0x00000000000732e3
     0.00%  my_executable  libopen-pal.so.80.0.2   [.] mca_base_var_group_deregister
     0.00%  my_executable  ld-linux-x86-64.so.2    [.] 0x000000000000a420
     0.00%  my_executable  libc.so.6               [.] 0x0000000000159fe5
     0.00%  my_executable  [kernel.vmlinux]        [k] mas_wr_bnode
     0.00%  my_executable  libc.so.6               [.] 0x00000000000993cb
     0.00%  my_executable  ld-linux-x86-64.so.2    [.] 0x0000000000024912
     0.00%  my_executable  [kernel.vmlinux]        [k] alloc_empty_file
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073768
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073910
     0.00%  my_executable  [kernel.vmlinux]        [k] free_pgd_range
     0.00%  my_executable  [kernel.vmlinux]        [k] alloc_fd
     0.00%  my_executable  [kernel.vmlinux]        [k] irq_enter_rcu
     0.00%  my_executable  [kernel.vmlinux]        [k] obj_cgroup_uncharge_pages
     0.00%  my_executable  [kernel.vmlinux]        [k] hrtimer_active
     0.00%  my_executable  libc.so.6               [.] 0x00000000000551c5
     0.00%  my_executable  libopen-pal.so.80.0.2   [.] mca_base_var_group_add_var
     0.00%  my_executable  libc.so.6               [.] 0x0000000000097e36
     0.00%  my_executable  [kernel.vmlinux]        [k] try_to_migrate_one
     0.00%  my_executable  libc.so.6               [.] 0x0000000000159fdd
     0.00%  my_executable  libm.so.6               [.] 0x000000000007376d
     0.00%  my_executable  libc.so.6               [.] 0x000000000015b787
     0.00%  my_executable  libc.so.6               [.] 0x000000000005fa5e
     0.00%  my_executable  libc.so.6               [.] 0x00000000000994c6
     0.00%  my_executable  libudev.so.1.7.8        [.] 0x0000000000015a33
     0.00%  my_executable  ld-linux-x86-64.so.2    [.] 0x000000000000980f
     0.00%  my_executable  libm.so.6               [.] 0x0000000000073c35
     0.00%  my_executable  [kernel.vmlinux]        [k] filldir64
     0.00%  my_executable  [kernel.vmlinux]        [k] __mod_memcg_state
     0.00%  my_executable  [kernel.vmlinux]        [k] irqentry_enter
     0.00%  my_executable  [kernel.vmlinux]        [k] free_unref_page_prepare
     0.00%  my_executable  ld-linux-x86-64.so.2    [.] 0x000000000000e5f8
     0.00%  my_executable  [kernel.vmlinux]        [k] _raw_read_lock_irqsave
     0.00%  my_executable  [kernel.vmlinux]        [k] profile_tick
     0.00%  my_executable  [kernel.vmlinux]        [k] update_irq_load_avg
     0.00%  my_executable  libc.so.6               [.] _IO_getline_info
     0.00%  my_executable  libc.so.6               [.] 0x0000000000079270
     0.00%  my_executable  libc.so.6               [.] 0x000000000009af42
